Timestamp_Recorded,Match_Date,League,Home_Team,Away_Team,Market,Odds,Strategy,Model_Prob_%,Implied_Prob_%,Edge_%,Recommended_Stake_£,Notes,Result,Profit_Loss_£,Cumulative_PL_£,Closing_Odds,CLV_%
2026-08-07 19:23:08,2026-08-07,Liga Portugal,Estoril,Famalicao,Under 2.5,2.64,Dual Ensemble,55.5,37.9,17.6,12.5,,WIN,20.5,20.5,,
2026-08-08 11:05:24,2026-08-08,Japan,Avispa Fukuoka,Vissel Kobe,Under 2.5,1.52,Dual Ensemble (Recommended),79.4,65.8,13.7,50.0,,WIN,26.0,46.5,,
2026-08-08 11:07:08,2026-08-08,Bundesliga 2,Karlsruhe,Bielefeld,Over 2.5,1.62,Dual Ensemble (Recommended),68.7,61.7,7.0,45.83,,WIN,28.41,74.91,,
2026-08-08 11:07:09,2026-08-08,Bundesliga 2,Magdeburg,Braunschweig,Under 2.5,2.34,Dual Ensemble (Recommended),57.4,42.7,14.6,50.0,,LOSS,-50.0,24.91,,
2026-08-08 11:07:11,2026-08-08,Bundesliga 2,Wolfsburg,Kaiserslautern,Under 2.5,2.76,Dual Ensemble (Recommended),55.2,36.2,19.0,50.0,,WIN,88.0,112.91,,
2026-08-08 11:22:26,2026-08-08,China,Yunnan Yukun,Chengdu Rongcheng,Under 2.5,3.55,Dual Ensemble (Recommended),35.5,28.2,7.3,25.38,,WIN,64.72,177.63,,
2026-08-08 15:36:44,2026-08-08,Scottish Championship,Arbroath,Inverness C,Under 2.5,1.82,Dual Ensemble (Recommended),72.8,54.9,17.9,50.0,,WIN,41.0,218.63,,
2026-08-08 15:38:47,2026-08-08,Norway,Viking FK,Sarpsborg FK,Under 2.5,3.35,Dual Ensemble (Recommended),46.2,29.9,16.3,50.0,,LOSS,-50.0,168.63,,
2026-08-08 15:40:49,2026-08-08,Liga Portugal,Maritimo,Casa Pia,Over 2.5,2.38,Dual Ensemble (Recommended),52.9,42.0,10.9,47.05,,LOSS,-47.05,121.58,,
2026-08-08 15:59:32,2026-08-08,Pro League,Standard,Cercle Brugge,Over 2.5,2.02,Dual Ensemble (Recommended),65.1,49.5,15.6,50.0,,WIN,51.0,172.58,,
